ID,Image Path,Canvas Label,Filename,Predicted Label
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq125.jpg,(seq. 125),seq125.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq126.jpg,(seq. 126),seq126.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq127.jpg,(seq. 127),seq127.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq128.jpg,(seq. 128),seq128.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq129.jpg,(seq. 129),seq129.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq130.jpg,(seq. 130),seq130.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq131.jpg,(seq. 131),seq131.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq132.jpg,(seq. 132),seq132.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq134.jpg,(seq. 134),seq134.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq135.jpg,(seq. 135),seq135.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq136.jpg,(seq. 136),seq136.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq137.jpg,(seq. 137),seq137.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq138.jpg,(seq. 138),seq138.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq139.jpg,(seq. 139),seq139.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq140.jpg,(seq. 140),seq140.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq141.jpg,(seq. 141),seq141.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq142.jpg,(seq. 142),seq142.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq143.jpg,(seq. 143),seq143.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq144.jpg,(seq. 144),seq144.jpg,diagram
